date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-01-05,4133.34,4151.28,4138.75,4123.28,1490098.75,9.94,0.24,4099.44,4065.707,4046.102,1345656.01,1153043.9,1006998.38
2018-01-04,4114.12,4137.64,4128.81,4105.89,1345438.0,17.42,0.42,4075.47,4058.617,4037.717,1284722.04,1100870.11,977620.46
2018-01-03,4091.46,4140.05,4111.39,4088.73,1518522.12,23.99,0.59,4047.95,4048.785,4032.068,1225941.59,1056930.81,964991.66
2018-01-02,4045.21,4087.78,4087.4,4045.21,1469354.38,56.55,1.4,4036.396,4041.179,4028.507,1104474.74,982607.59,966109.09
2017-12-29,4022.88,4043.14,4030.85,4012.87,904866.81,11.95,0.3,4027.224,4030.968,4025.08,994457.79,913525.53,943964.99
2017-12-28,3993.0,4036.7,4018.9,3980.24,1185428.88,27.69,0.69,4031.974,4025.969,4023.444,960431.79,912083.23,947415.1
2017-12-27,4045.28,4047.74,3991.21,3986.74,1051535.75,-62.41,-1.54,4041.764,4026.694,4022.804,917018.19,874309.21,942135.33
2017-12-26,4040.62,4056.86,4053.62,4015.3,911187.88,12.08,0.3,4049.62,4032.582,4025.931,887920.04,846701.76,951835.36
2017-12-25,4057.42,4086.93,4041.54,4026.45,919269.62,-13.06,-0.32,4045.962,4028.822,4026.041,860740.44,839921.69,957305.02
2017-12-22,4064.91,4076.8,4054.6,4048.49,734736.81,-13.25,-0.33,4034.712,4031.618,4026.462,832593.26,845143.68,983069.17
2017-12-21,4023.08,4080.78,4067.85,4014.65,968360.88,37.36,0.93,4019.964,4026.496,4028.942,863734.68,860952.86,1011761.34
2017-12-20,4036.02,4044.85,4030.49,4015.63,906045.0,-4.84,-0.12,4011.624,4016.817,4030.669,831600.23,854370.81,1052416.91
2017-12-19,3985.82,4035.63,4035.33,3985.82,775289.88,50.04,1.26,4015.544,4015.35,4040.523,805483.49,873052.51,1100353.16
2017-12-18,3983.3,4008.07,3985.29,3967.93,778533.75,4.43,0.11,4011.682,4015.834,4049.642,819102.95,949610.6,1151764.08
2017-12-15,4018.73,4020.27,3980.86,3974.93,890443.88,-45.29,-1.12,4028.524,4019.191,4057.569,857694.09,974404.44,1181561.03
2017-12-14,4050.9,4057.62,4026.15,4013.85,807688.62,-23.94,-0.59,4033.028,4020.919,4064.568,858171.04,982746.97,1232930.89
2017-12-13,4013.83,4052.69,4050.09,4004.74,775461.31,34.07,0.85,4022.01,4018.914,4068.511,877141.4,1009961.46,1253238.67
2017-12-12,4068.51,4070.15,4016.02,4015.45,843387.19,-53.48,-1.31,4015.156,4019.28,4069.69,940621.54,1056968.96,1274783.45
2017-12-11,4006.88,4069.5,4069.5,4005.27,971489.44,66.12,1.65,4019.986,4023.26,4073.857,1080118.25,1074688.34,1304232.56
2017-12-08,3962.83,4014.14,4003.38,3955.44,892828.62,32.32,0.81,4009.858,4021.305,4076.785,1091114.8,1120994.66,1331381.25
2017-12-07,4003.58,4017.95,3971.06,3955.99,902540.44,-44.76,-1.11,4008.81,4031.387,4082.212,1107322.9,1162569.83,1357648.4
2017-12-06,4027.12,4031.75,4015.82,3964.81,1092862.0,-24.35,-0.6,4015.818,4044.521,4087.454,1142781.51,1250463.01,1373049.54
2017-12-05,4007.94,4045.93,4040.17,4006.54,1540870.75,21.31,0.53,4023.404,4065.696,4089.063,1173316.39,1327653.81,1393820.31
